Date,Hotel,Title,Review,Sentiment
11/22/2009,can_montreal_hotel_nelligan,Great Hotel Experience,"My husband and I traveled to Old Montreal for a 4 day get-away. The hotel was beautiful. It is decorated in a trendy, urban chic décor. It is very clean, and the staff was polite and helpful. My husband and I are frequent travelers; we look to stay in the nicest hotels available. There is curbside valet parking for all guests; and concierge service around the clock. We received complimentary wine every night on the roof top lounge, and a free truly continental breakfast daily with wonderful croissants, rich coffee, and fruit and chocolate. Old Montreal is decidedly European with most staff speaking multiple languages including English, French and Spanish.The hotel is located in the heart of Old Montreal and walking is a must. This hotel is located a block from the Note Dame Basilica, The historic waterfront, museums, shopping and restaurants.My one suggestion is not to stay on the top floor, as the rooftop bar and restaurant are noisy well past midnight, and the staff is up there cleaning and moving chairs and tables very early!",
11/19/2009,can_montreal_hotel_nelligan,Hotel Nelligan,"In recent visit to Montreal to attend the IDF congress at the Palais Congress, stayed at the Nelligan in Old Montreal. Really enjoyed this hotel. Firstly, it was a great location- within walking distance of the Palais Congress (where the metro station is located as well). Room was great- spacious, tastefully decorated. Staff very efficient and friendly. Plently of restaurants within walking distance. Highly recommended.",
11/4/2009,can_montreal_hotel_nelligan,Charming and chic.,"Excellent location in Old Montreal. Staff was friendly and most helpful with any special request. The morning breakfast buffet is really nice and much more than a continental breakfast. Rooms are a bit dark but ultra modern and comfortable. Free WIFI is a plus, too. Hotel is also near several excellent french restaurants. The concierge helped us with reservations and the meals were wonderful. The hotel also caters to groups with meeting rooms and other functions so it's a bit busier than the traditional boutique hotels.",
11/1/2009,can_montreal_hotel_nelligan,Great location comfy room,"Loved Hotel Nelligan! Boutique hotel in a great location in Old Montreal. Bed was super comfy, nice amenities, although the bathroom lighting was a little dark. Wine happy hour each night was nice, and Jean the concierge rocked! She really hooked us up at some great restaurants -- Restaurant Toque!, the Globe (for people-watching). Some people say it is noisy - but I thought it was super quiet, no problem with noise. Would definitely go back.",
10/19/2009,can_montreal_hotel_nelligan,Delightful stay in Vieux-Montreal,"We stayed at Hotel Nelligan for six nights during a vacation to Montreal. We chose a 'King Loft' room. The room was spacious and comfortable. The bathroom was huge and spotless. (In fact, my husband took notes on the shower design for our next household renovation!) The style of hotel itself is trendy without being pretentious. The staff was attentive, friendly, very helpful with directions, and restaurant recommendations. The location is central to the old scenic part of the city, but not right in the middle of the bustle of the main tourist drags. We were in easy walking distance of Notre Dame and many cafes and galleries. I would stay at the Nelligan again on any visit to Montreal.",
10/8/2009,can_montreal_hotel_nelligan,Charming hotel that I would return to again and again.,"Hotel Nelligan is located in the Old City of Montreal. The staff was friendly and very helpful. The rooms were elegant, comfortable and clean. I had a small issue with the location of the TV compared to the bed but it could certainly be overlooked. Morning breakfast was delicious and complementary evening wine and cheese was a delight. Highly recommended for couples, business or leisure. Not handicapped accessible but neither was anything else on the cobblestone streets of Old Montreal.",
9/29/2009,can_montreal_hotel_nelligan,Gorgeous hotel excellent location in the old town,"This hotel was lovely, really well put together. Downside was that the whirlpool bath didn't work and was't fixed while we were there despite highlighting it twice. We were offered a room change the second time, but it was our last night so we didn't bother. When we mentioned this at check out they offered to wave the phone charges on the room ($10) with abit more pushing they only charged us for a basic room which was fine, but should have been their first offer in my opinion. Other than that a lovely experience. The continental breakfast had everything you would expect and the bagels were particularly good. We ate at the restaurant and it was pretty nice, food and service wer excellent, we would go there again.",
9/23/2009,can_montreal_hotel_nelligan,Totally satisfied!,I just returned from a 3 night stay at the Hotel Nelligan. It was more than I expected! Everyone was friendly &amp; more than helpful. It had a very warm ambiance &amp; I felt so comfortable.We had a double room &amp; it was very tastefully decorated. We were facing the street &amp; there was never a problem with noise. The bathroom was spacious &amp; the products were heavenly!I would not hesitate to stay here again!,
9/9/2009,can_montreal_hotel_nelligan,An enchanting time in Old Montreal at the Hotel Nelligan,"If you're looking for a romantic hotel in Old Montreal (the historic center of the city) with a bit of boutique hipness and Euro style to it, Hotel Nelligan is a great choice. There's a reason why Hotel Nelligan consistently scores the highest marks on Trip Advisor and gets rave reviews in travel magazines -- every aspect of our stay was fantastic, from the romantic rooms to the sky terrace to the service. Best of all, the hotel is located on a cobblestone, very European-feeling street, close by to some of the city's main tourist attractions. That being said, the hotel didn't feel &quot;touristy&quot; at all. The name of the hotel comes from Emile Nelligan, a famous Quebec poet, and there are constant reminders about Ms. Nelligan throughout the hotel. Three great restaurant locations are attached to the hotel as well - Verses, Sky Terrace and Mechant Boeuf Brasserie (order the poutine!).",
9/6/2009,can_montreal_hotel_nelligan,Great stay despite some service issues,"Reviews here and on other sites accurately reflected our experience at the Nelligan. For a boutique hotel in a historic district, the Nelligan was very comfortable, quiet, and had nice charm. Many personal touches make this property seem like a great value in retrospect -- nightly wine and cheese hour, daily cont. breakfast, great bath amenities, fabulous bedding, etc. The downsides here were service-oriented and the issues we experienced seemed consistent with those expressed by other reviewers here. It was disappointing given we enjoyed the hotel so much but had to be patient with some issues that other hotels nail as a given at this price level. The few, basic inquiries we made of the staff were hit or miss on execution. Here are some examples: - We called down for ice on three occassions and it never showed up, so we just stopped calling....yet, other requests like wake-up calls were fine.- Upon our arrival with baggage, the bell staff (several of them) just stood around talking to each other and other guests, and ignored us as we struggled with getting in the front doors.....yet, at other times, bell staff went beyond the call to locate taxis for us down the street.- The rooftop terrace was a fantastic way to spend a sunset, which we did on each night, and loved it, but the service was horrendous to the point it became a comedy. They knew how to make only the drinks on the menu, and any request beyond that was literally discouraged by the waitresses (&quot;oh, the bartenders probably don't even know what that is, can you just choose something off the menu&quot;). While the wine list offered some nice glasses of wine at $10 to $20 a glass, one of the many glasses we ordered came corked and rancid smelling. We politely asked for a replacement glass, and the waitress wanted to have a long debate with us on the matter and try and convince us it was fine.- there appeared to be no service elevator at the hotel because day and night, the staff was shuttling push carts of food and housekeeping in and out of the elevators, cramming in with unsuspecting hotel guests. It made waits for the elevators noticibly long and frequently cramped; by day two we just started taking the stairs to avoid the hassle.- housekeeping in general in our room was very basic and inconsistent; only once did they actually seem to clean the room with cleaning products; most days, they simply made the bed and replaced towels, leaving dirty drinking glasses as they were, and surfaces hadn't been wiped down. All this said, for the few but memorable downsides, the place was really comfortable, well appointed, a solid value, and charming. We'd stay here again and recommend it to our friends without hesitation. Just be prepared for a little hit or miss service. I really hope the management will make some improvements.",
9/5/2009,can_montreal_hotel_nelligan,Love this hotel,"Beautiful rooms, extremely friendly and helpful staff. Great location and atmosphere. Old Montreal is fabulous. I plan to come back with my husband for a romantic getaway!",
8/31/2009,can_montreal_hotel_nelligan,Cozy relaxing and perfect location!,"My wife wanted a unique hotel with loads of character to spend our honemoon. Old Monteral was our destination and after some exhaustive research online she found Hotel Nelligan. We went in with very high exopectations based on reviews both here and in Fodor's. We were not dissappointed!The room was spotless, bed was very comfortable, the electric fireplace was nice touch (although slightly tacky in a Wal-Mart kind of way) and the staff was perfect. The brick walls were amazing and mostly soundproof. Our room was looking out onto the alley and wasn't that bad. I mean really, front, back atruim or alley, all windows in Old Montreal look right at the next building anyway.The location was a 5 minute walk to the Metro and there must be 30 restaurants/coffee shops/cafes or more within that radius. We went to 4 of each during our stay and review them elsewhere. We didn't take our car out of the Valet parking for all 4 days,Nelligan is afilliated with Rainspa in Place D'Armes Hotel and they arranged for 2 spa treament there for us which were very nice. We will definitely return to Hotel Nelligan in the Ffuture and will recommend it highly to any one who asks.",
8/29/2009,can_montreal_hotel_nelligan,Excellent spacious room- go to Place d'Armes for the wine and cheese,"We stayed in Rm. 303 for two nights. The room was spacious and quiet though facing the street, had a king bed, luxurious bathrobes, a fireplace you can turn on even in the summer as it throws off no heat., and jacuzzi- I gasped when my husband showed me the bathroom. It was a very comfortable room seeing as it was so muggy outside. it doesn't cost much more than an average hotel for all this elegance.You can go to the Place D'Armes, their sister hotel, for the wine and cheese reception each night- the wine is better and the presentation of the cheese, fruit and bread is much nicer; you just show your ticket.I think this would be a very nice romantic hotel for a honeymoon!",
8/26/2009,can_montreal_hotel_nelligan,WONDERFUL,"Where do I begin from the momentwe arrived it was all about the service. Attentive,warm and friendly. The room was spacious and well appointed. Clean more then comfortable. The continental breakfast was well done and plentiful. I would definitely stay here again and again 5 thumbs up",
